Numeracao_geral	Numeracao_p_analise	Localizacao	ponto	numeracao_animal	tcmax_final	LogCTM	Taxon	Classe	Ordem	Famila	Sub-Familia	Genero	Especie	Sexo	Nofly/Fly	Habitat	Latitude	Longitude	Altitude	Localidade	Temperatura	TempAR	TempSOLO	Peso (g)
36	1	1.0	1	37	36.33	1.56	Artrhopoda	Insecta	Hymenoptera	Formicidae	Myrmicinae	0	0	0	No	MataAtlantica	-23.735	-45.98	314	EBBoraceia				0.0001
37	1	1.0	1	38	36.67	1.56	Artrhopoda	Malacostraca	Hymenoptera	Formicidae	0	0	0	0	No	MataAtlantica	-23.735	-45.98	314	EBBoraceia				0.0001
38	1	1.0	1	39	36.67	1.56	Artrhopoda	Insecta	Hymenoptera	Formicidae	0	0	0	0	No	MataAtlantica	-23.735	-45.98	314	EBBoraceia				0.0001
39	1	1.0	1	41	37.33	1.57	Artrhopoda	Insecta	Hymenoptera	Formicidae	0	0	0	0	No	MataAtlantica	-23.735	-45.98	314	EBBoraceia				0.0001
40	1	1.0	1	42	37.33	1.57	Artrhopoda	Arachnida	Araneae	Theridiidae	0	0	0	0	No	MataAtlantica	-23.735	-45.98	314	EBBoraceia				0.0001
41	1	1.0	1	43	38.33	1.58	Artrhopoda	Insecta	Hymenoptera	Formicidae	Myrmicinae	0	0	0	No	MataAtlantica	-23.735	-45.98	314	EBBoraceia				0.0001
42	1	1.0	1	44	38.00	1.58	Artrhopoda	Insecta	Hymenoptera	Formicidae	Myrmicinae	0	0	0	No	MataAtlantica	-23.735	-45.98	314	EBBoraceia				0.0001
43	1	1.0	1	45	38.33	1.58	Artrhopoda	Insecta	Hymenoptera	Formicidae	Formicinae	0	0	0	No	MataAtlantica	-23.735	-45.98	314	EBBoraceia				0.0001
44	1	1.0	1	46	40.00	1.60	Artrhopoda	Insecta	Blattodea	0	0	0	0	0	Yes	MataAtlantica	-23.735	-45.98	314	EBBoraceia				0.0001
45	1	1.0	1	47	43.67	1.64	Artrhopoda	Insecta	Coleoptera	0	0	0	0	0	Yes	MataAtlantica	-23.735	-45.98	314	EBBoraceia				0.0001
46	1	1.0	2	48	32.33	1.51	Artrhopoda	Insecta	Hymenoptera	Formicidae	Myrmicinae	0	0	0	No	MataAtlantica	-23.747	-45.975	314	EBBoraceia				0.0001
47	1	1.0	2	49	35.33	1.55	Artrhopoda	Insecta	Blattodea	0	0	0	0	0	Yes	MataAtlantica	-23.747	-45.975	314	EBBoraceia				0.0001
48	1	1.0	2	50	37.33	1.57	Artrhopoda	Insecta	Hymenoptera	Formicidae	Myrmicinae	0	0	0	No	MataAtlantica	-23.747	-45.975	314	EBBoraceia				0.0001
49	1	1.0	2	51	37.67	1.58	Artrhopoda	Insecta	Hymenoptera	Formicidae	Myrmicinae	0	0	0	No	MataAtlantica	-23.747	-45.975	314	EBBoraceia				0.0001
50	1	1.0	2	52	41.00	1.61	Artrhopoda	Insecta	Hymenoptera	Formicidae	Myrmicinae	0	0	0	No	MataAtlantica	-23.747	-45.975	314	EBBoraceia				0.0001
51	1	1.0	2	53	41.67	1.62	Artrhopoda	Insecta	Dermaptera		0	0	0	0	No	MataAtlantica	-23.747	-45.975	314	EBBoraceia				0.0001
53	1	1.0	2	55	45.00	1.65	Artrhopoda	Arachnida	Araneae	Theridiidae	0	0	0	0	No	MataAtlantica	-23.747	-45.975	314	EBBoraceia				0.0001
54	1	1.0	2	56	46.00	1.66	Artrhopoda	Arachnida	Araneae	Scytodidae	0	0	0	0	No	MataAtlantica	-23.747	-45.975	314	EBBoraceia				0.0001
55	1	1.0	2	57	33.67	1.53	Artrhopoda	Malacostraca	Isopoda	0	0	0	0	0	No	MataAtlantica	-23.747	-45.975	314	EBBoraceia				0.0001
56	1	1.0	2	58	34.00	1.53	Artrhopoda	Arachnida	Araneae	Scytodidae	0	0	0	0	No	MataAtlantica	-23.747	-45.975	314	EBBoraceia				0.0001
57	1	1.0	2	59	37.00	1.57	Artrhopoda	Insecta	Hymenoptera	Formicidae	0	0	0	0	No	MataAtlantica	-23.747	-45.975	314	EBBoraceia				0.0001
58	1	1.0	2	60	38.33	1.58	Artrhopoda	Insecta	Hymenoptera	Formicidae	0	0	0	0	No	MataAtlantica	-23.747	-45.975	314	EBBoraceia				0.0001
59	1	1.0	2	61	38.33	1.58	Artrhopoda	Insecta	Hymenoptera	Formicidae	Ponerinae	0	0	0	No	MataAtlantica	-23.747	-45.975	314	EBBoraceia				0.0001
60	1	1.0	2	62	40.00	1.60	Artrhopoda	Arachnida	Araneae	Corinnidae	0	0	0	0	No	MataAtlantica	-23.747	-45.975	314	EBBoraceia				0.0001
61	1	1.0	2	63	40.00	1.60	Artrhopoda	Arachnida	Araneae	Corinnidae	0	0	0	0	No	MataAtlantica	-23.747	-45.975	314	EBBoraceia				0.0001
62	1	1.0	2	64	40.00	1.60	Artrhopoda	Insecta	Hymenoptera	Formicidae	0	0	0	0	No	MataAtlantica	-23.747	-45.975	314	EBBoraceia				0.0001
63	1	1.0	2	65	42.00	1.62	Artrhopoda	Insecta	Hymenoptera	Formicidae	Ponerinae	0	0	0	No	MataAtlantica	-23.747	-45.975	314	EBBoraceia				0.0001
64	1	1.0	2	66	42.00	1.62	Artrhopoda	Arachnida	Araneae	Miturgidae	0	0	0	0	No	MataAtlantica	-23.747	-45.975	314	EBBoraceia				0.0001
65	1	1.0	2	67	33.67	1.53	Artrhopoda	Insecta	Coleoptera	0	0	0	0	0	Yes	MataAtlantica	-23.747	-45.975	314	EBBoraceia				0.0001
66	1	1.0	2	68	35.00	1.54	Artrhopoda	Arachnida	Araneae	Miturgidae	0	0	0	0	No	MataAtlantica	-23.747	-45.975	314	EBBoraceia				0.0001
67	1	1.0	2	69	36.33	1.56	Artrhopoda	Insecta	Hymenoptera	Formicidae	0	0	0	0	No	MataAtlantica	-23.747	-45.975	314	EBBoraceia				0.0001
68	1	1.0	2	70	36.67	1.56	Artrhopoda	Insecta	Blattodea	0	0	0	0	0	Yes	MataAtlantica	-23.747	-45.975	314	EBBoraceia				0.0001
69	1	1.0	2	71	37.00	1.57	Artrhopoda	Insecta	Hymenoptera	Formicidae	Ponerinae	0	0	0	No	MataAtlantica	-23.747	-45.975	314	EBBoraceia				0.0001
70	1	1.0	2	72	36.33	1.56	Artrhopoda	Insecta	Hymenoptera	Formicidae	0	0	0	0	No	MataAtlantica	-23.747	-45.975	314	EBBoraceia				0.0001
71	1	1.0	2	73	38.00	1.58	Artrhopoda	Insecta	Hymenoptera	Formicidae	Ponerinae	0	0	0	No	MataAtlantica	-23.747	-45.975	314	EBBoraceia				0.0001
72	1	1.0	2	74	37.67	1.58	Artrhopoda	Insecta	Hymenoptera	Formicidae	Ponerinae	0	0	0	No	MataAtlantica	-23.747	-45.975	314	EBBoraceia				0.0001
73	1	1.0	2	75	37.67	1.58	Artrhopoda	Insecta	Hymenoptera	Formicidae	Ponerinae	0	0	0	No	MataAtlantica	-23.747	-45.975	314	EBBoraceia				0.0001
74	1	1.0	2	76	39.00	1.59	Artrhopoda	Insecta	Hymenoptera	Formicidae	Ponerinae	0	0	0	No	MataAtlantica	-23.747	-45.975	314	EBBoraceia				0.0001
75	1	1.0	2	77	40.00	1.60	Artrhopoda	Insecta	Hymenoptera	Formicidae	Myrmicinae	0	0	0	No	MataAtlantica	-23.747	-45.975	314	EBBoraceia				0.0001
76	1	1.0	2	78	37.00	1.57	Artrhopoda	Arachnida	Opiliones	Gonyleptidae	0	0	0	0	No	MataAtlantica	-23.747	-45.975	314	EBBoraceia				0.0001
77	1	1.0	2	79	37.00	1.57	Artrhopoda	Insecta	Hymenoptera	Formicidae	0	0	0	0	No	MataAtlantica	-23.747	-45.975	314	EBBoraceia				0.0001
78	1	1.0	2	80	37.00	1.57	Artrhopoda	Insecta	Hymenoptera	Formicidae	0	0	0	0	No	MataAtlantica	-23.747	-45.975	314	EBBoraceia				0.0001
79	1	1.0	2	81	37.33	1.57	Artrhopoda	Insecta	Hymenoptera	Formicidae	Ponerinae	0	0	0	No	MataAtlantica	-23.747	-45.975	314	EBBoraceia				0.0001
80	1	1.0	2	82	39.00	1.59	Artrhopoda	Insecta	Hymenoptera	Formicidae	Ponerinae	0	0	0	No	MataAtlantica	-23.747	-45.975	314	EBBoraceia				0.0001
81	1	1.0	2	83	39.00	1.59	Artrhopoda	Arachnida	Acari	0	0	0	0	0	No	MataAtlantica	-23.747	-45.975	314	EBBoraceia				0.0001
82	1	1.0	2	84	41.00	1.61	Artrhopoda	Insecta	Hymenoptera	Formicidae	Ponerinae	0	0	0	No	MataAtlantica	-23.747	-45.975	314	EBBoraceia				0.0001
83	1	1.0	3	85	34.33	1.54	Artrhopoda	Malacostraca	Isopoda	0	0	0	0	0	No	MataAtlantica	-23.666	-46.128	790	EBBoraceia				0.0065
84	1	1.0	3	86	34.33	1.54	Artrhopoda	Malacostraca	Isopoda	0	0	0	0	0	No	MataAtlantica	-23.666	-46.128	790	EBBoraceia				0.0053
85	1	1.0	3	87	34.33	1.54	Artrhopoda	Malacostraca	Isopoda	0	0	0	0	0	No	MataAtlantica	-23.666	-46.128	790	EBBoraceia				0.0045
86	1	1.0	3	88	42.67	1.63	Artrhopoda	Malacostraca	Isopoda	0	0	0	0	0	No	MataAtlantica	-23.666	-46.128	790	EBBoraceia				0.0060
88	1	1.0	3	90	42.33	1.63	Artrhopoda	Insecta	Hymenoptera	Formicidae	0	0	0	0	No	MataAtlantica	-23.666	-46.128	790	EBBoraceia				0.0001
89	1	1.0	3	91	42.33	1.63	Artrhopoda	Insecta	Hymenoptera	Formicidae	0	0	0	0	No	MataAtlantica	-23.666	-46.128	790	EBBoraceia				0.0001
90	1	1.0	3	92	41.67	1.62	Artrhopoda	Insecta	Hymenoptera	Formicidae	Ponerinae	0	0	0	No	MataAtlantica	-23.666	-46.128	790	EBBoraceia				0.0001
91	1	1.0	3	93	43.00	1.63	Artrhopoda	Insecta	Hymenoptera	Formicidae	Ponerinae	0	0	0	No	MataAtlantica	-23.666	-46.128	790	EBBoraceia				0.0001
92	1	1.0	3	94	44.67	1.65	Artrhopoda	Insecta	Hymenoptera	Formicidae	Ponerinae	0	0	0	No	MataAtlantica	-23.666	-46.128	790	EBBoraceia				0.0001
93	1	1.0	3	95	34.33	1.54	Artrhopoda	Malacostraca	Isopoda	0	0	0	0	0	No	MataAtlantica	-23.666	-46.128	790	EBBoraceia				0.0001
94	1	1.0	3	96	33.00	1.52	Artrhopoda	Malacostraca	Isopoda	0	0	0	0	0	No	MataAtlantica	-23.666	-46.128	790	EBBoraceia				0.0052
95	1	1.0	3	97	33.00	1.52	Artrhopoda	Malacostraca	Isopoda	0	0	0	0	0	No	MataAtlantica	-23.666	-46.128	790	EBBoraceia				0.0042
96	1	1.0	3	98	33.00	1.52	Artrhopoda	Malacostraca	Isopoda	0	0	0	0	0	No	MataAtlantica	-23.666	-46.128	790	EBBoraceia				0.0032
97	1	1.0	3	99	33.00	1.52	Artrhopoda	Malacostraca	Isopoda	0	0	0	0	0	No	MataAtlantica	-23.666	-46.128	790	EBBoraceia				0.0022
98	1	1.0	3	100	33.00	1.52	Artrhopoda	Malacostraca	Isopoda	0	0	0	0	0	No	MataAtlantica	-23.666	-46.128	790	EBBoraceia				0.0012
99	1	1.0	3	101	33.00	1.52	Artrhopoda	Malacostraca	Isopoda	0	0	0	0	0	No	MataAtlantica	-23.666	-46.128	790	EBBoraceia				0.0002
100	1	1.0	3	102	35.67	1.55	Artrhopoda	Insecta	Hymenoptera	Formicidae	Ponerinae	Hypoponera	0	0	No	MataAtlantica	-23.666	-46.128	790	EBBoraceia				0.0001
101	1	1.0	3	103	33.00	1.52	Artrhopoda	Malacostraca	Isopoda	0	0	0	0	0	No	MataAtlantica	-23.666	-46.128	790	EBBoraceia				0.0001
102	1	1.0	3	104	33.00	1.52	Artrhopoda	Malacostraca	Isopoda	0	0	0	0	0	No	MataAtlantica	-23.666	-46.128	790	EBBoraceia				0.0001
104	1	1.0	3	106	29.67	1.47	Artrhopoda	Insecta	Coleoptera	0	0	0	0	0	Yes	MataAtlantica	-23.666	-46.128	790	EBBoraceia				0.0001
105	1	1.0	3	107	31.67	1.50	Artrhopoda	Malacostraca	Isopoda	0	0	0	0	0	No	MataAtlantica	-23.666	-46.128	790	EBBoraceia				0.0001
106	1	1.0	3	108	33.67	1.53	Artrhopoda	Insecta	Coleoptera	0	0	0	0	0	Yes	MataAtlantica	-23.666	-46.128	790	EBBoraceia				0.0001
107	1	1.0	3	109	34.00	1.53	Artrhopoda	Insecta	Coleoptera	0	0	0	0	0	Yes	MataAtlantica	-23.666	-46.128	790	EBBoraceia				0.0001
108	1	1.0	3	110	36.00	1.56	Artrhopoda	Arachnida	Araneae	Pholcidae	0	0	0	0	No	MataAtlantica	-23.666	-46.128	790	EBBoraceia				0.0001
109	1	1.0	3	111	36.00	1.56	Artrhopoda	Insecta	Hymenoptera	Formicidae	0	0	0	0	No	MataAtlantica	-23.666	-46.128	790	EBBoraceia				0.0001
110	1	1.0	3	112	36.00	1.56	Artrhopoda	Arachnida	Araneae	Pholcidae	0	0	0	0	No	MataAtlantica	-23.666	-46.128	790	EBBoraceia				0.0001
112	1	1.0	3	114	38.33	1.58	Artrhopoda	Insecta	Hymenoptera	Formicidae	Ponerinae	0	0	0	No	MataAtlantica	-23.666	-46.128	790	EBBoraceia				0.0001
113	1	1.0	3	115	43.33	1.64	Artrhopoda	Insecta	Hymenoptera	Formicidae	Ponerinae	0	0	0	No	MataAtlantica	-23.666	-46.128	790	EBBoraceia				0.0001
116	1	1.0	3	118	34.67	1.54	Artrhopoda	Insecta	Hymenoptera	Formicidae	0	0	0	0	No	MataAtlantica	-23.666	-46.128	790	EBBoraceia				0.0001
117	1	1.0	3	119	36.33	1.56	Artrhopoda	Insecta	Hymenoptera	Formicidae	0	0	0	0	No	MataAtlantica	-23.666	-46.128	790	EBBoraceia				0.0001
118	1	1.0	3	120	36.00	1.56	Artrhopoda	Insecta	Hymenoptera	Formicidae	Ponerinae	0	0	0	No	MataAtlantica	-23.666	-46.128	790	EBBoraceia				0.0001
119	1	1.0	3	121	39.00	1.59	Artrhopoda	Insecta	Hymenoptera	Formicidae	Ponerinae	0	0	0	No	MataAtlantica	-23.666	-46.128	790	EBBoraceia				0.0001
120	1	1.0	3	122	43.67	1.64	Artrhopoda	Insecta	Hymenoptera	Formicidae	Ponerinae	0	0	0	No	MataAtlantica	-23.666	-46.128	790	EBBoraceia				0.0001
121	1	1.0	4	123	34.00	1.53	Artrhopoda	Malacostraca	Isopoda	0	0	0	0	0	No	MataAtlantica	-23.658	-46.12	790	EBBoraceia				0.0001
122	1	1.0	4	124	34.67	1.54	Artrhopoda	Malacostraca	Isopoda	0	0	0	0	0	No	MataAtlantica	-23.658	-46.12	790	EBBoraceia				0.0001
123	1	1.0	4	125	35.67	1.55	Artrhopoda	Malacostraca	Isopoda	0	0	0	0	0	No	MataAtlantica	-23.658	-46.12	790	EBBoraceia				0.0001
124	1	1.0	4	126	36.00	1.56	Artrhopoda	Malacostraca	Isopoda	0	0	0	0	0	No	MataAtlantica	-23.658	-46.12	790	EBBoraceia				0.0001
125	1	1.0	4	127	34.67	1.54	Artrhopoda	Malacostraca	Isopoda	0	0	0	0	0	No	MataAtlantica	-23.658	-46.12	790	EBBoraceia				0.0001
126	1	1.0	4	128	36.00	1.56	Artrhopoda	Insecta	Coleoptera	0	0	0	0	0	Yes	MataAtlantica	-23.658	-46.12	790	EBBoraceia				0.0001
128	1	1.0	4	130	37.67	1.58	Artrhopoda	Insecta	Coleoptera	0	0	0	0	0	Yes	MataAtlantica	-23.658	-46.12	790	EBBoraceia				0.0001
129	1	1.0	4	131	34.67	1.54	Artrhopoda	Insecta	Hymenoptera	Formicidae	0	0	0	0	No	MataAtlantica	-23.658	-46.12	790	EBBoraceia				0.0001
130	1	1.0	4	132	36.67	1.56	Artrhopoda	Insecta	Blattodea	0	0	0	0	0	Yes	MataAtlantica	-23.658	-46.12	790	EBBoraceia				0.0001
131	1	1.0	4	133	34.33	1.54	Artrhopoda	Malacostraca	Isopoda	0	0	0	0	0	No	MataAtlantica	-23.658	-46.12	790	EBBoraceia				0.0001
132	1	1.0	4	134	36.67	1.56	Artrhopoda	Arachnida	Araneae	Zodariidae	0	0	0	0	No	MataAtlantica	-23.658	-46.12	790	EBBoraceia				0.0001
133	1	1.0	4	135	40.67	1.61	Artrhopoda	Arachnida	Araneae	Zodariidae	0	0	0	0	No	MataAtlantica	-23.658	-46.12	790	EBBoraceia				0.0001
134	1	1.0	4	136	30.67	1.49	Artrhopoda	Malacostraca	Isopoda	0	0	0	0	0	No	MataAtlantica	-23.658	-46.12	790	EBBoraceia				0.0001
135	1	1.0	4	137	32.67	1.51	Artrhopoda	Malacostraca	Isopoda	0	0	0	0	0	No	MataAtlantica	-23.658	-46.12	790	EBBoraceia				0.0001
136	1	1.0	4	138	32.67	1.51	Artrhopoda	Malacostraca	Isopoda	0	0	0	0	0	No	MataAtlantica	-23.658	-46.12	790	EBBoraceia				0.0001
137	1	1.0	4	139	32.67	1.51	Artrhopoda	Malacostraca	Isopoda	0	0	0	0	0	No	MataAtlantica	-23.658	-46.12	790	EBBoraceia				0.0001
138	1	1.0	4	140	34.00	1.53	Artrhopoda	Malacostraca	Isopoda	0	0	0	0	0	No	MataAtlantica	-23.658	-46.12	790	EBBoraceia				0.0001
139	1	1.0	4	141	36.00	1.56	Artrhopoda	Insecta	Hymenoptera	Formicidae	0	0	0	0	No	MataAtlantica	-23.658	-46.12	790	EBBoraceia				0.0001
140	1	1.0	4	142	36.67	1.56	Artrhopoda	Insecta	Blattodea	0	0	0	0	0	Yes	MataAtlantica	-23.658	-46.12	790	EBBoraceia				0.0001
142	1	1.0	4	144	37.67	1.58	Artrhopoda	Insecta	Hymenoptera	Formicidae	0	0	0	0	No	MataAtlantica	-23.658	-46.12	790	EBBoraceia				0.0001
143	1	1.0	4	145	36.00	1.56	Artrhopoda	Insecta	Hymenoptera	Formicidae	Dolichoderinae	0	0	0	No	MataAtlantica	-23.658	-46.12	790	EBBoraceia				0.0001
145	1	1.0	4	147	38.67	1.59	Artrhopoda	Insecta	Hymenoptera	Formicidae	Myrmicinae	0	0	0	No	MataAtlantica	-23.658	-46.12	790	EBBoraceia				0.0001
146	1	1.0	4	148	31.33	1.50	Artrhopoda	Malacostraca	Isopoda	0	0	0	0	0	No	MataAtlantica	-23.658	-46.12	790	EBBoraceia				0.0001
150	1	1.0	4	152	33.67	1.53	Artrhopoda	Malacostraca	Isopoda	0	0	0	0	0	No	MataAtlantica	-23.658	-46.12	790	EBBoraceia				0.0001
151	1	1.0	4	153	34.00	1.53	Artrhopoda	Insecta	Blattodea	0	0	0	0	0	Yes	MataAtlantica	-23.658	-46.12	790	EBBoraceia				0.0001
152	1	1.0	4	154	35.67	1.55	Artrhopoda	Insecta	Hymenoptera	Formicidae	0	0	0	0	No	MataAtlantica	-23.658	-46.12	790	EBBoraceia				0.0001
153	1	1.0	4	155	36.67	1.56	Artrhopoda	Insecta	Hymenoptera	Formicidae	0	0	0	0	No	MataAtlantica	-23.658	-46.12	790	EBBoraceia				0.0001
154	1	1.0	4	156	37.33	1.57	Artrhopoda	Arachnida	Araneae	Ctenidae	0	0	0	0	No	MataAtlantica	-23.658	-46.12	790	EBBoraceia				0.0001
155	1	1.0	4	157	37.00	1.57	Artrhopoda	Insecta	Blattodea	0	0	0	0	0	Yes	MataAtlantica	-23.658	-46.12	790	EBBoraceia				0.0001
156	1	1.0	5	158	32.67	1.51	Artrhopoda	Arachnida	Araneae	0	0	0	0	0	No	MataAtlantica	-23.666	-46.008	790	EBBoraceia				0.0001
157	1	1.0	5	159	33.67	1.53	Artrhopoda	Malacostraca	Isopoda	0	0	0	0	0	No	MataAtlantica	-23.666	-46.008	790	EBBoraceia				0.0001
158	1	1.0	5	160	35.67	1.55	Artrhopoda	Insecta	Coleoptera	0	0	0	0	0	Yes	MataAtlantica	-23.666	-46.008	790	EBBoraceia				0.0001
159	1	1.0	5	161	36.67	1.56	Artrhopoda	Insecta	Hymenoptera	Formicidae	0	0	0	0	No	MataAtlantica	-23.666	-46.008	790	EBBoraceia				0.0001
160	1	1.0	5	162	36.67	1.56	Artrhopoda	Insecta	Hymenoptera	Formicidae	0	0	0	0	No	MataAtlantica	-23.666	-46.008	790	EBBoraceia				0.0001
161	1	1.0	5	163	37.33	1.57	Artrhopoda	Insecta	Hymenoptera	Formicidae	Ponerinae	0	0	0	No	MataAtlantica	-23.666	-46.008	790	EBBoraceia				0.0001
162	1	1.0	5	164	37.33	1.57	Artrhopoda	Insecta	Hymenoptera	Formicidae	Ponerinae	0	0	0	No	MataAtlantica	-23.666	-46.008	790	EBBoraceia				0.0001
163	1	1.0	5	165	37.33	1.57	Artrhopoda	Insecta	Hymenoptera	Formicidae	Ponerinae	0	0	0	No	MataAtlantica	-23.666	-46.008	790	EBBoraceia				0.0001
164	1	1.0	5	166	37.00	1.57	Artrhopoda	Arachnida	Araneae	0	0	0	0	0	No	MataAtlantica	-23.666	-46.008	790	EBBoraceia				0.0001
165	1	1.0	5	167	37.33	1.57	Artrhopoda	Insecta	Hymenoptera	Formicidae	Dolichoderinae	0	0	0	No	MataAtlantica	-23.666	-46.008	790	EBBoraceia				0.0001
166	1	1.0	5	168	37.33	1.57	Artrhopoda	Insecta	Hymenoptera	Formicidae	0	0	0	0	No	MataAtlantica	-23.666	-46.008	790	EBBoraceia				0.0001
167	1	1.0	5	169	33.33	1.52	Artrhopoda	Insecta	Hymenoptera	Formicidae	Ponerinae	0	0	0	No	MataAtlantica	-23.666	-46.008	790	EBBoraceia				0.0001
168	1	1.0	5	170	33.33	1.52	Artrhopoda	Insecta	Hymenoptera	Formicidae	Ponerinae	0	0	0	No	MataAtlantica	-23.666	-46.008	790	EBBoraceia				0.0001
